income_per_month,years_in_school,property_value
7081.0171,16,723394.6385
26553.81413,17,1741505.611
499.3024878,10,254527.7432
2859.641521,17,401885.9102
1861.036546,12,326867.207
1861.036546,8,428678.3043
1861.036546,14,428678.3043
2496.512439,12,294716.3342
1180.169517,12,243810.7856
10213.00543,17,873432.045
3358.944009,13,198263.7157
15886.89734,16,4018859.102
3495.117415,17,1071695.761
5810.065313,14,535847.8805
9668.31181,14,669809.8505
1724.86314,16,321508.7282
5446.936231,17,468866.8953
3495.117415,15,267923.9402
3313.552874,14,801092.581
2723.468115,15,576036.4715
7852.666399,16,1339619.701
453.9113526,11,53584.78805
2632.685845,17,243810.7856
7489.537317,16,267923.9402
1180.169517,10,401885.9102
907.8227051,13,241131.5462
33362.48441,17,3215087.282
4811.460337,12,294716.3342
3449.72628,12,227735.3492
2632.685845,12,281320.1372
635.4758936,12,308112.5312
2950.423792,15,321508.7282
544.6936231,12,535847.8805
4448.331255,13,1071695.761
8624.315699,13,1071695.761
773.4649448,12,147358.1671
4402.94012,13,458149.9377
5991.629854,12,241131.5462
1361.734058,13,171471.3217
1043.996111,16,267923.9402
18474.19205,16,669809.8505
16885.50232,16,2947163.342
7217.190506,14,1071695.761
1043.996111,8,267923.9402
998.6049757,13,318829.4888
4448.331255,17,1473581.671
2042.601087,17,246490.025
1407.125193,12,144678.9277
3540.50855,12,1071695.761
2314.947898,16,160754.3641
1644.974742,14,685885.287
5900.847583,17,616225.0625
5129.198284,17,2143391.521
726.2581641,14,1071695.761
7398.755047,15,1205657.731
8170.404346,16,736790.8355
2541.903574,12,187546.7581
1407.125193,12,937733.7905
2632.685845,12,321508.7282
1452.516328,13,107169.5761
11347.78381,16,1607543.641
2541.903574,16,750187.0325
1679.472005,17,286678.616
1270.951787,12,468866.8953
4902.242608,12,1071695.761
9895.267486,17,2612258.417
6717.888018,17,870752.8055
4448.331255,16,937733.7905
14661.33669,16,3483011.222
2405.730169,16,667130.611
5083.807149,16,1004714.776
2541.903574,17,2947163.342
2042.601087,8,656413.6535
635.4758936,11,109848.8155
1407.125193,17,375093.5162
2042.601087,15,348301.1222
1679.472005,9,217018.3915
13889.68739,17,2009429.551
16613.1555,16,1339619.701
8578.924564,17,1567355.05
771.6492994,16,334904.9252
3631.290821,16,736790.8355
10757.69906,16,602828.8655
36539.86388,16,2036221.945
7262.581641,14,1098488.155
340.4335144,12,101811.0973
20879.92222,17,5358478.805
2950.423792,14,155395.8853
190.6427681,17,3750935.162
6490.932342,12,830564.2145
4947.633743,13,629621.2595
16023.07075,17,1205657.731
1043.996111,14,468866.8953
5446.936231,16,1339619.701
7671.101858,16,1875467.581
680.8670289,15,313471.01
2541.903574,12,174150.5611
4085.202173,16,450112.2195
2405.730169,15,1098488.155
5446.936231,17,2020146.509
24874.34212,17,5010177.68
2950.423792,12,1272638.716
4493.72239,12,321508.7282
3495.117415,16,509055.4865
6082.412124,17,5653195.135
9804.485216,17,2269315.773
367.6681956,12,305433.2918
1134.778381,13,225056.1098
5401.545096,14,281320.1372
16976.28459,15,3750935.162
21787.74492,16,3483011.222
1134.778381,14,254527.7432
5219.980555,15,1741505.611
7625.710723,12,1473581.671
3041.206062,12,870752.8055
2314.947898,8,345621.8828
2814.250386,17,200942.9551
2451.121304,14,428678.3043
3177.379468,12,1004714.776
4312.157849,16,843960.4115
3131.988333,12,434036.7831
3858.246497,17,401885.9102
26281.46731,17,2277353.492
3268.161739,17,870752.8055
2541.903574,10,267923.9402
590.0847583,10,267923.9402
7898.057535,17,4018859.102
1225.560652,12,259886.222
2269.556763,16,401885.9102
6173.194395,12,187546.7581
1043.996111,11,48226.30923
6990.23483,13,669809.8505
3131.988333,10,294716.3342
1361.734058,16,482263.0923
3631.290821,17,1339619.701
8624.315699,17,669809.8505
1634.080869,14,238452.3068
1270.951787,12,158075.1247
3086.597197,9,1138676.746
1134.778381,10,21433.91521
1543.298599,13,267923.9402
18474.19205,16,3750935.162
17747.93389,17,3215087.282
5855.456448,11,1018110.973
1543.298599,10,227735.3492
13617.34058,16,4018859.102
1906.427681,16,273282.419
6309.367801,16,468866.8953
5764.674178,16,803771.8205
26871.55207,17,1339619.701
3722.073091,12,116814.8379
817.0404346,9,120565.7731
2950.423792,12,468866.8953
17974.88956,17,2679239.402
7126.408235,17,790375.6235
6445.541207,16,1071695.761
22695.56763,17,4286783.043
8805.88024,17,1071695.761
3041.206062,16,235773.0674
5900.847583,17,428678.3043
2814.250386,16,468866.8953
1588.689734,16,262565.4614
3449.72628,14,586753.429
3858.246497,17,1138676.746
3177.379468,16,249169.2644
2950.423792,16,535847.8805
907.8227051,12,334904.9252
3131.988333,16,932375.3115
3177.379468,12,321508.7282
2950.423792,16,790375.6235
16749.32891,16,1875467.581
5401.545096,16,803771.8205
15569.15939,17,4286783.043
10803.09019,16,1567355.05
1815.64541,10,26792.39402
3268.161739,14,428678.3043
25782.16483,16,8037718.205
2723.468115,12,241131.5462
2042.601087,12,589432.6685
2487.434212,16,396527.4314
2451.121304,12,214339.1521
33771.00463,16,2679239.402
22695.56763,17,613545.823
771.6492994,12,147358.1671
2269.556763,16,267923.9402
2587.29471,17,1339619.701
6263.976665,16,2663163.965
7171.799371,12,535847.8805
1270.951787,17,2143391.521
25509.81801,16,985960.1
4085.202173,16,736790.8355
1815.64541,14,321508.7282
2405.730169,11,661772.132
6854.061424,12,3750935.162
5083.807149,16,375093.5162
3177.379468,16,1125280.549
2814.250386,16,1508411.783
5492.327366,12,643017.4565
4039.811038,12,750187.0325
6445.541207,16,535847.8805
3177.379468,11,281320.1372
3812.855362,17,482263.0923
1815.64541,12,187546.7581
1815.64541,14,227735.3492
1407.125193,14,254527.7432
2133.383357,12,233093.828
14706.72782,16,1741505.611
2995.814927,17,257206.9826
1407.125193,7,302754.0524
2360.339033,16,316150.2494
1997.209951,12,803771.8205
998.6049757,12,267923.9402
19745.14384,17,3992066.708
4039.811038,12,342942.6434
4539.113526,12,830564.2145
3994.419903,16,428678.3043
23694.1726,17,2947163.342
30321.27835,17,4018859.102
6263.976665,12,348301.1222
680.8670289,14,93773.37905
5946.238719,13,696602.2445
2995.814927,12,348301.1222
3177.379468,16,401885.9102
1497.907463,12,535847.8805
1724.86314,11,267923.9402
14979.07463,13,133961.9701
3404.335144,16,200942.9551
4993.024878,11,897545.1995
4357.548985,12,380451.995
3358.944009,12,602828.8655
2314.947898,12,150037.4065
2587.29471,15,369735.0374
998.6049757,17,334904.9252
1407.125193,16,133961.9701
2178.774492,12,364376.5586
817.0404346,12,375093.5162
9078.227051,13,747507.793
590.0847583,12,107169.5761
4312.157849,13,669809.8505
2360.339033,12,120565.7731
6990.23483,12,401885.9102
14706.72782,17,1071695.761
1997.209951,8,401885.9102
6309.367801,17,2679239.402
998.6049757,14,332225.6858
8896.66251,16,937733.7905
11030.04587,17,2947163.342
1679.472005,14,543885.5985
3449.72628,17,535847.8805
272.3468115,15,66980.98505
3177.379468,13,535847.8805
4539.113526,16,2143391.521
4448.331255,12,267923.9402
2269.556763,16,535847.8805
3177.379468,14,884149.0025
15024.46577,17,4018859.102
10349.17884,16,1875467.581
3676.681956,17,8573566.085
2405.730169,13,535847.8805
2224.165628,16,482263.0923
4493.72239,14,401885.9102
376.7464226,12,870752.8055
1452.516328,12,278640.8978
4607.200229,13,87075.28055
4539.113526,12,637658.9775
17021.67572,16,1205657.731
27416.2457,17,790375.6235
14343.59874,17,1875467.581
817.0404346,12,214339.1521
4539.113526,16,1339619.701
24828.95099,14,2947163.342
11529.34836,17,1339619.701
3358.944009,16,428678.3043
3676.681956,12,538527.1195
7171.799371,17,527810.162
3041.206062,16,535847.8805
4266.766714,16,763583.2295
6400.150071,17,1339619.701
2269.556763,16,40188.59102
8624.315699,16,535847.8805
998.6049757,12,200942.9551
771.6492994,10,133961.9701
453.9113526,14,241131.5462
2587.29471,16,401885.9102
5673.891907,12,273282.419
3313.552874,12,267923.9402
1770.254275,16,442074.5013
3676.681956,17,348301.1222
15115.24804,17,4018859.102
4629.895796,12,330350.2182
635.4758936,12,227735.3492
3358.944009,8,830564.2145
14071.25193,17,1875467.581
19427.40589,16,6698098.505
10712.30792,16,803771.8205
11801.69517,15,7716209.475
1089.387246,14,25452.77432
3585.899685,17,348301.1222
544.6936231,13,267923.9402
1407.125193,8,267923.9402
8896.66251,12,803771.8205
1906.427681,12,519772.444
9169.009322,16,1111884.352
2905.032656,16,803771.8205
3449.72628,12,267923.9402
9169.009322,16,790375.6235
5310.762825,12,267923.9402
2723.468115,8,267923.9402
6082.412124,16,1607543.641
453.9113526,11,1599505.923
3313.552874,16,506376.247
3313.552874,12,200942.9551
4175.984444,12,321508.7282
1679.472005,15,669809.8505
1270.951787,15,40188.59102
1390.784384,13,2411315.462
3585.899685,16,736790.8355
6127.80326,12,977922.3815
1634.080869,12,53584.78805
2632.685845,16,830564.2145
1724.86314,16,535847.8805
9169.009322,14,2545277.432
6400.150071,16,991318.5785
4402.94012,14,669809.8505
1997.209951,13,200942.9551
3903.637632,12,348301.1222
2995.814927,12,602828.8655
3313.552874,14,509055.4865
2995.814927,14,187546.7581
2541.903574,12,669809.8505
590.0847583,16,128603.4913
2814.250386,17,401885.9102
5628.500772,16,736790.8355
3631.290821,17,1821882.793
3404.335144,12,273282.419
18111.06297,17,2143391.521
2541.903574,12,364376.5586
907.8227051,14,348301.1222
2178.774492,17,1071695.761
635.4758936,10,8037.718205
3903.637632,14,535847.8805
2451.121304,13,803771.8205
444.8331255,16,348301.1222
21106.87789,17,2009429.551
2587.29471,16,610866.5835
6490.932342,4,241131.5462
6581.714612,17,1741505.611
3404.335144,12,795734.102
3767.464226,17,1205657.731
1770.254275,12,334904.9252
4039.811038,7,348301.1222
2178.774492,12,776979.4265
11710.9129,17,1607543.641
2042.601087,10,294716.3342
2269.556763,13,211659.9127
7262.581641,16,803771.8205
2995.814927,15,120565.7731
4130.593308,16,1607543.641
1861.036546,12,643017.4565
9577.529539,12,2009429.551
2405.730169,12,321508.7282
4993.024878,17,870752.8055
27507.02797,17,6162250.625
3177.379468,13,160754.3641
3449.72628,17,321508.7282
5855.456448,17,538527.1195
15523.76826,16,2009429.551
363.1290821,13,131282.7307
1906.427681,11,160754.3641
4448.331255,12,517093.2045
3041.206062,12,857356.6085
862.4315699,15,37509.35162
14570.55442,17,803771.8205
25192.08007,16,3483011.222
1452.516328,12,160754.3641
8624.315699,17,3349049.252
3858.246497,12,669809.8505
4085.202173,14,174150.5611
2360.339033,16,484942.3317
8533.533428,16,589432.6685
38582.46497,17,2639050.811
4039.811038,14,254527.7432
27461.63683,17,1955844.763
4675.286931,13,214339.1521
6127.80326,16,452791.4589
4357.548985,12,1138676.746
10167.6143,16,281320.1372
9486.747269,12,2411315.462
6309.367801,12,744828.5535
8488.142293,17,80377.18205
1997.209951,16,131282.7307
1361.734058,17,535847.8805
2859.641521,15,629621.2595
3313.552874,14,388489.7132
11393.17495,17,2210372.506
413.0593308,17,2009429.551
13617.34058,17,2759616.584
6354.758936,16,1077054.24
1724.86314,12,455470.6983
30412.06062,16,4018859.102
6490.932342,14,1004714.776
3812.855362,17,541206.359
8896.66251,16,3375841.646
2950.423792,6,1757581.048
2224.165628,16,401885.9102
1361.734058,17,383131.2344
3676.681956,12,200942.9551
1724.86314,12,701960.723
453.9113526,12,1205657.731
8170.404346,14,602828.8655
7716.492994,16,1607543.641
4085.202173,15,803771.8205
4357.548985,16,468866.8953
4402.94012,17,696602.2445
4402.94012,12,562640.2745
998.6049757,13,174150.5611
4448.331255,14,109848.8155
1134.778381,12,200942.9551
1270.951787,10,176829.8005
1134.778381,12,471546.1347
5946.238719,16,977922.3815
36222.12594,13,2277353.492
7716.492994,14,803771.8205
5174.589419,16,669809.8505
14706.72782,17,1205657.731
3540.50855,16,736790.8355
21923.91833,16,2009429.551
1270.951787,14,133961.9701
726.2581641,12,267923.9402
3404.335144,12,182188.2793
2269.556763,16,324187.9676
1043.996111,15,26792.39402
2814.250386,12,415282.1073
2042.601087,17,482263.0923
1180.169517,12,233093.828
5038.416014,8,468866.8953
3222.770603,12,602828.8655
2360.339033,16,747507.793
1316.342922,12,200942.9551
1452.516328,9,160754.3641
12754.90901,17,533168.641
3767.464226,14,602828.8655
22650.17649,17,12056577.31
3177.379468,17,428678.3043
1128.877534,12,428678.3043
4175.984444,16,436716.0225
20652.96654,14,669809.8505
4085.202173,12,321508.7282
38037.77135,17,4018859.102
5719.283042,16,1178865.337
2405.730169,16,643017.4565
3631.290821,17,3215087.282
7035.625965,16,455470.6983
726.2581641,12,1339.619701
1261.87356,13,602828.8655
544.6936231,12,241131.5462
10485.35224,17,1473581.671
4902.242608,17,428678.3043
4539.113526,12,458149.9377
12754.90901,16,2143391.521
3767.464226,12,21433.91521
20471.402,16,1205657.731
1815.64541,12,790375.6235
40216.54584,17,10529410.85
3041.206062,16,321508.7282
2269.556763,9,482263.0923
3767.464226,16,1002035.536
4266.766714,12,1071695.761
3858.246497,16,401885.9102
998.6049757,11,66980.98505
635.4758936,9,24113.15462
40398.11038,17,3349049.252
7262.581641,17,937733.7905
11483.95722,14,2164825.437
2632.685845,12,107169.5761
39671.85221,17,6698098.505
5129.198284,16,1044903.367
2269.556763,13,669809.8505
907.8227051,6,267923.9402
1316.342922,16,1607543.641
1270.951787,14,860035.848
1452.516328,14,174150.5611
1724.86314,16,200942.9551
4993.024878,16,294716.3342
2587.29471,17,200942.9551
6627.105748,17,803771.8205
6263.976665,16,763583.2295
5628.500772,15,2143391.521
5310.762825,17,1339619.701
7534.928453,16,2411315.462
1089.387246,16,1071695.761
3222.770603,13,300074.813
2541.903574,8,254527.7432
3858.246497,14,645696.696
1724.86314,13,401885.9102
6037.020989,16,1741505.611
1724.86314,14,455470.6983
1679.472005,12,977922.3815
4085.202173,8,803771.8205
4039.811038,12,501017.768
2768.859251,12,342942.6434
1225.560652,16,870752.8055
3177.379468,15,1071695.761
1906.427681,14,281320.1372
2496.512439,12,160754.3641
2101.609562,14,321508.7282
6854.061424,13,669809.8505
1134.778381,12,160754.3641
2768.859251,12,281320.1372
4312.157849,17,803771.8205
4402.94012,15,870752.8055
7035.625965,16,1312827.307
3041.206062,12,286678.616
14525.16328,17,736790.8355
1951.818816,12,348301.1222
422.1375579,12,182188.2793
10712.30792,16,669809.8505
3086.597197,15,817168.0175
1724.86314,14,262565.4614
726.2581641,12,267923.9402
1361.734058,12,80377.18205
3177.379468,14,669809.8505
21923.91833,17,2143391.521
7898.057535,16,415282.1073
1906.427681,14,321508.7282
1997.209951,12,254527.7432
5492.327366,17,1138676.746
907.8227051,12,302754.0524
2950.423792,13,468866.8953
1089.387246,12,399206.6708
590.0847583,13,669809.8505
4085.202173,16,870752.8055
3136.527446,12,669809.8505
3767.464226,16,538527.1195
3949.028767,16,1473581.671
2632.685845,14,1071695.761
1951.818816,16,495659.2893
3631.290821,16,977922.3815
1679.472005,12,401885.9102
18156.4541,17,5358478.805
8578.924564,17,8037718.205
1724.86314,14,455470.6983
3177.379468,17,1125280.549
4039.811038,14,214339.1521
1452.516328,14,401885.9102
3268.161739,15,669809.8505
2541.903574,12,602828.8655
771.6492994,12,233093.828
1316.342922,10,388489.7132
953.2138404,12,1768298.005
2723.468115,14,669809.8505
4811.460337,17,1205657.731
2178.774492,16,736790.8355
2133.383357,12,1004714.776
5673.891907,16,643017.4565
2995.814927,12,375093.5162
5673.891907,14,1232450.125
2178.774492,14,337584.1646
2405.730169,12,1071695.761
1043.996111,10,136641.2095
462.9895796,15,200942.9551
13254.2115,2,3215087.282
1361.734058,16,535847.8805
317.7379468,12,267923.9402
9078.227051,13,2344334.477
2814.250386,12,468866.8953
1679.472005,13,267923.9402
4815.999451,17,1071695.761
3041.206062,12,200942.9551
6173.194395,16,375093.5162
6672.496883,16,776979.4265
15342.20372,16,11520729.43
1951.818816,17,736790.8355
417.5984444,12,294716.3342
998.6049757,14,669809.8505
930.5182728,14,241131.5462
8079.622076,17,951129.9875
4811.460337,17,1018110.973
1815.64541,12,187546.7581
13662.73171,17,1741505.611
3767.464226,14,401885.9102
5628.500772,16,696602.2445
2723.468115,16,803771.8205
2269.556763,13,187546.7581
4584.504661,12,1929052.369
4175.984444,16,388489.7132
907.8227051,12,120565.7731
1534.220372,15,187546.7581
3676.681956,16,1138676.746
9123.618187,16,1071695.761
2178.774492,13,305433.2918
6037.020989,17,2304145.886
9622.920675,16,1331581.983
3949.028767,14,267923.9402
6944.843694,12,1071695.761
1497.907463,8,262565.4614
25918.33823,13,803771.8205
3676.681956,16,1168148.379
2178.774492,10,643017.4565
5673.891907,14,468866.8953
817.0404346,11,214339.1521
4993.024878,12,334904.9252
4085.202173,17,10716957.61
4357.548985,13,937733.7905
1180.169517,12,506376.247
3086.597197,12,133961.9701
2496.512439,13,321508.7282
13254.2115,17,2679239.402
1089.387246,13,803771.8205
6990.23483,17,669809.8505
2541.903574,12,1205657.731
2723.468115,16,910941.3965
20426.01087,17,2679239.402
1815.64541,3,1272638.716
1588.689734,16,1138676.746
1225.560652,16,1071695.761
1316.342922,16,428678.3043
4175.984444,16,1339619.701
3177.379468,15,401885.9102
2360.339033,12,466187.6559
3340.787555,17,937733.7905
5446.936231,13,712677.681
680.8670289,12,267923.9402
907.8227051,5,669809.8505
862.4315699,12,718036.1595
17112.45799,17,3349049.252
6808.670289,12,696602.2445
6581.714612,17,1339619.701
1634.080869,12,214339.1521
1679.472005,15,522451.6835
2814.250386,16,1339619.701
5855.456448,16,1071695.761
7262.581641,17,589432.6685
12300.99765,17,2129995.324
3781.081567,12,937733.7905
4448.331255,17,677847.5685
2496.512439,14,602828.8655
20879.92222,16,1312827.307
9940.658621,16,1272638.716
5446.936231,14,348301.1222
29504.23792,17,2143391.521
1997.209951,11,187546.7581
635.4758936,12,428678.3043
1815.64541,16,455470.6983
10394.56997,14,1071695.761
4811.460337,17,482263.0923
3313.552874,12,857356.6085
3722.073091,12,334904.9252
3404.335144,12,267923.9402
4539.113526,14,1015431.733
1679.472005,15,187546.7581
22967.91444,12,3750935.162
1634.080869,14,643017.4565
3676.681956,15,576036.4715
3540.50855,17,857356.6085
2723.468115,12,602828.8655
726.2581641,10,120565.7731
2768.859251,12,348301.1222
1951.818816,16,174150.5611
35949.77912,17,7233946.385
3767.464226,14,482263.0923
2269.556763,12,425999.0649
2723.468115,12,200942.9551
5265.37169,13,750187.0325
1180.169517,14,326867.207
3358.944009,16,1205657.731
2224.165628,17,1071695.761
20562.18427,17,8037718.205
3449.72628,17,535847.8805
1679.472005,14,535847.8805
9214.400457,17,1071695.761
7807.275264,16,452791.4589
1906.427681,16,342942.6434
3404.335144,16,428678.3043
1407.125193,13,664451.3715
26599.20526,17,3215087.282
1043.996111,12,267923.9402
18065.67183,17,1339619.701
3358.944009,17,594791.147
38900.20292,17,3215087.282
6218.58553,17,1339619.701
3540.50855,12,442074.5013
7307.972776,16,1071695.761
4175.984444,16,375093.5162
1815.64541,13,348301.1222
5855.456448,17,509055.4865
1679.472005,16,1875467.581
2723.468115,17,133961.9701
11983.25971,12,937733.7905
7126.408235,13,1741505.611
1407.125193,13,200942.9551
5446.936231,13,428678.3043
8942.053646,17,9806016.21
3722.073091,12,160754.3641
2337.643466,12,1272638.716
5673.891907,12,187546.7581
2859.641521,14,2277353.492
1634.080869,11,401885.9102
3041.206062,16,1004714.776
2723.468115,12,736790.8355
2496.512439,14,455470.6983
2087.992222,17,267923.9402
5628.500772,16,1044903.367
4312.157849,12,482263.0923
2451.121304,12,144678.9277
16340.80869,17,8305642.145
2087.992222,12,267923.9402
3449.72628,12,669809.8505
2587.29471,16,1312827.307
6354.758936,16,803771.8205
23104.08785,16,1406600.686
862.4315699,8,238452.3068
8170.404346,12,133961.9701
7716.492994,14,2143391.521
3540.50855,14,375093.5162
2950.423792,14,509055.4865
1316.342922,13,669809.8505
4402.94012,12,267923.9402
1270.951787,14,1607543.641
817.0404346,15,254527.7432
1783.871616,12,40456.51497
1089.387246,9,107169.5761
4448.331255,13,870752.8055
1452.516328,10,187546.7581
6309.367801,17,1071695.761
5265.37169,12,803771.8205
4085.202173,16,482263.0923
1815.64541,12,211659.9127
2269.556763,10,535847.8805
12618.7356,12,5358478.805
1634.080869,12,77697.94265
680.8670289,12,26792.39402
2678.07698,12,535847.8805
998.6049757,12,80377.18205
1997.209951,14,66980.98505
2814.250386,12,482263.0923
4575.426434,12,53584.78805
9078.227051,15,937733.7905
2087.992222,16,1875467.581
1815.64541,13,187546.7581
2496.512439,13,1339619.701
4993.024878,16,669809.8505
2224.165628,16,401885.9102
6990.23483,17,1071695.761
3858.246497,16,884149.0025
16204.63529,17,870752.8055
2360.339033,12,375093.5162
2496.512439,12,589432.6685
2178.774492,2,133961.9701
817.0404346,14,241131.5462
6672.496883,17,1044903.367
2678.07698,17,428678.3043
1770.254275,12,482263.0923
9577.529539,17,1674524.626
3722.073091,12,1044903.367
953.2138404,6,455470.6983
7171.799371,17,2344334.477
3404.335144,13,696602.2445
3313.552874,14,535847.8805
18156.4541,16,7233946.385
4902.242608,16,750187.0325
1316.342922,12,80377.18205
4539.113526,12,1071695.761
2360.339033,12,107169.5761
6400.150071,8,744292.7055
2632.685845,12,361697.3192
2269.556763,14,428678.3043
1407.125193,14,208980.6733
2768.859251,16,401885.9102
9441.356133,16,2333617.519
2360.339033,13,401885.9102
3722.073091,12,1339619.701
37129.94864,15,6698098.505
3949.028767,16,401885.9102
5174.589419,17,1339619.701
998.6049757,12,519772.444
7444.146182,14,428678.3043
9986.049757,12,535847.8805
3041.206062,8,133961.9701
2042.601087,12,375093.5162
3268.161739,12,332225.6858
817.0404346,12,522451.6835
7081.0171,12,415282.1073
817.0404346,12,401885.9102
2723.468115,3,964526.1845
4085.202173,17,1339619.701
1770.254275,12,629621.2595
13072.64695,16,2547956.671
2632.685845,13,334904.9252
2360.339033,16,316150.2494
771.6492994,17,897545.1995
3177.379468,16,1607543.641
19654.36157,16,1741505.611
2995.814927,10,80377.18205
1588.689734,12,348301.1222
2723.468115,12,1018110.973
5537.718501,12,1607543.641
3177.379468,15,308112.5312
2360.339033,17,736790.8355
3177.379468,13,348301.1222
4357.548985,16,468866.8953
5673.891907,16,1339619.701
6218.58553,17,1607543.641
3086.597197,13,535847.8805
3404.335144,12,1031507.17
2360.339033,17,455470.6983
1997.209951,16,241131.5462
771.6492994,14,562640.2745
1770.254275,14,22773.53492
5356.15396,16,1071695.761
3631.290821,13,267923.9402
5265.37169,17,482263.0923
3313.552874,17,535847.8805
4539.113526,11,723394.6385
5106.502716,16,1205657.731
2087.992222,13,281320.1372
2678.07698,17,803771.8205
6899.452559,16,535847.8805
4947.633743,13,696602.2445
23376.43466,16,5679987.53
1225.560652,17,6724890.9
40125.76357,17,6751683.29
1588.689734,13,2679239.402
2042.601087,12,1071695.761
3631.290821,14,803771.8205
680.8670289,12,93773.37905
19427.40589,17,2009429.551
4766.069202,14,578715.7105
1361.734058,12,602828.8655
1361.734058,12,48226.30923
3631.290821,13,602828.8655
36902.99296,17,3616973.192
2950.423792,14,1473581.671
4448.331255,12,803771.8205
1588.689734,12,21433.91521
4902.242608,12,388489.7132
4402.94012,16,482263.0923
19064.27681,17,3215087.282
1407.125193,17,803771.8205
590.0847583,12,709998.4415
4312.157849,17,468866.8953
7307.972776,14,948450.748
10439.96111,17,1607543.641
